12,Acqua di Parma,Acqua di Parma Magnolia Nobile Acqua di Parma for women,citrus,130,floral,83,white floral,54,woody,46,aromatic,41,,,100,99,20,12,50,39,18,64,16
13,Acqua di Parma,Acqua di Parma Magnolia Nobile Special Edition Acqua di Parma for women,floral,130,white floral,115,woody,103,citrus,100,vanilla,69,,,100,33,33,16,50,50,50,33,33
14,Acqua di Parma,Acqua di Parma Profumo Acqua di Parma for women,yellow floral,130,woody,102,white floral,97,floral,92,rose,91,powdery,90,100,68,28,26,17,13,40,44,42
15,Acqua di Parma,Acqua di Parma Profumo 2008 Acqua di Parma for women,woody,130,amber,83,earthy,74,balsamic,72,white floral,61,,,100,30,26,30,26,15,30,30,38
16,Acqua di Parma,Colonia Assoluta Edizione Speciale 2013 Acqua di Parma for women and men,citrus,130,woody,116,warm spicy,82,aromatic,58,earthy,57,,,100,60,1,20,60,80,40,80,60
17,Acqua di Parma,Colonia Assoluta In Villa Acqua di Parma for women and men,citrus,130,woody,111,warm spicy,93,fresh,65,fresh spicy,26,,,100,16,8,8,75,33,50,75,33
18,Acqua di Parma,Colonia Club Acqua di Parma for women and men,aromatic,130,fresh spicy,95,green,90,citrus,80,floral,34,,,100,84,60,18,82,76,46,84,24
19,Acqua di Parma,Colonia Essenza Special Edition 2015 Acqua di Parma for men,citrus,130,aromatic,70,woody,57,white floral,48,fresh spicy,48,,,100,1,8,8,50,58,33,58,25
20,Acqua di Parma,Colonia Intensa Acqua di Parma for men,citrus,130,fresh spicy,71,warm spicy,56,woody,53,aromatic,43,,,100,70,18,11,56,54,26,71,23
21,Acqua di Parma,Essenza di Colonia Acqua di Parma for men,citrus,130,aromatic,60,fresh spicy,51,white floral,45,woody,44,,,100,50,12,11,47,57,25,59,27
22,Acqua di Parma,Gelsomino Nobile Edizione Speciale Acqua di Parma for women,white floral,130,citrus,57,tuberose,53,musky,37,animalic,32,,,50,100,100,1,50,50,50,100,1
23,Acqua di Parma,Iris Nobile 10th Anniversary Special Edition Acqua di Parma for women,floral,130,powdery,128,citrus,88,yellow floral,82,woody,80,sweet,74,100,66,1,50,66,66,66,100,50
24,Acqua di Parma,Iris Nobile Edizione Speziale Acqua di Parma for women,woody,130,powdery,124,floral,120,citrus,111,yellow floral,84,musky,76,100,100,14,28,42,42,85,57,42
25,Acqua di Parma,Iris Nobile Sublime Acqua di Parma for women,white floral,130,woody,76,citrus,64,powdery,59,floral,58,,,100,68,32,32,55,25,36,63,22
26,Acqua di Parma,Magnolia Nobile Special Edition Acqua di Parma for women,citrus,130,white floral,118,floral,110,tuberose,52,fresh,41,rose,41,100,14,1,1,14,14,1,14,14
27,Acqua di Parma,Magnolia Nobile Special Edition 2016 Acqua di Parma for women,citrus,130,floral,112,woody,103,white floral,102,powdery,54,aromatic,53,100,33,33,33,66,33,66,66,66
28,Acqua di Parma,Peonia Nobile Acqua di Parma for women,rose,130,floral,127,fresh spicy,96,fresh,72,sweet,65,,,100,89,28,7,57,26,23,55,13
29,Acqua di Parma,Peonia Nobile Edizione Speciale Acqua di Parma for women,floral,130,fresh,101,amber,90,rose,65,sweet,60,,,66,66,33,33,100,66,33,66,33
30,Acqua di Parma,Profumo Eau de Parfum Acqua di Parma for women,woody,130,balsamic,89,rose,71,yellow floral,66,musky,64,floral,61,100,44,10,34,22,18,34,32,38
31,Acqua di Parma,Rosa Nobile Acqua di Parma for women,rose,130,floral,114,musky,53,citrus,48,fresh,45,,,58,100,20,9,40,31,16,51,8
32,Acqua di Parma,Rosa Nobile Edizione Speciale Acqua di Parma for women,floral,130,rose,106,citrus,74,woody,64,powdery,51,,,50,25,50,75,75,50,50,100,50
33,Acqua di Parma,Acqua Nobile Gelsomino Acqua di Parma for women,citrus,130,white floral,84,green,45,aromatic,42,fresh spicy,32,,,51,100,10,5,58,41,12,66,5
34,Acqua di Parma,Acqua Nobile Iris Acqua di Parma for women,citrus,130,white floral,63,powdery,62,floral,51,woody,35,,,100,96,27,24,69,60,39,75,27
35,Acqua di Parma,Acqua Nobile Magnolia Acqua di Parma for women,citrus,130,floral,108,white floral,57,green,38,fresh spicy,24,fresh,22,96,100,17,6,86,100,31,93,13
36,Acqua di Parma,Acqua Nobile Rosa Acqua di Parma for women,rose,130,citrus,101,floral,94,fresh spicy,63,musky,58,,,100,57,14,9,52,38,19,61,9
37,Acqua di Parma,Acqua di Parma Blu Mediterraneo - Arancia di Capri Acqua di Parma for women and men,citrus,130,fresh spicy,25,aromatic,25,green,22,caramel,14,terpenic,14,76,100,19,3,26,70,6,68,6
38,Acqua di Parma,Acqua di Parma Blu Mediterraneo - Cipresso di Toscana Acqua di Parma for women and men,aromatic,130,woody,116,fresh spicy,72,green,40,herbal,29,,,79,100,21,7,27,59,34,73,10
39,Acqua di Parma,Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma for women and men,citrus,130,woody,102,fruity,59,sweet,42,green,36,,,100,85,13,4,40,69,9,70,10
40,Acqua di Parma,Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna Acqua di Parma for women and men,fresh spicy,130,aromatic,85,woody,82,citrus,21,herbal,15,,,100,92,25,11,55,66,28,77,27
41,Acqua di Parma,Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma for women and men,almond,130,vanilla,129,sweet,105,powdery,88,fruity,87,,,100,73,25,23,30,35,42,58,22
42,Acqua di Parma,Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma for women and men,citrus,130,fresh spicy,69,woody,44,aromatic,38,floral,22,green,20,65,100,13,3,24,65,5,60,5
43,Acqua di Parma,Acqua di parma Blue Mediterraneo - Mirto di Panarea Acqua di Parma for women and men,aromatic,130,fresh spicy,114,citrus,86,herbal,64,woody,50,,,82,100,14,2,37,66,8,64,10
44,Acqua di Parma,Blu Mediterraneo Foglie di Basilico Acqua di Parma for women and men,fresh spicy,130,green,78,herbal,52,fresh,26,,,,,100,33,1,1,22,55,11,88,33
45,Acqua di Parma,Blu Mediterraneo Quercia Marina Acqua di Parma for women and men,aromatic,130,marine,121,green,87,floral,56,woody,52,warm spicy,49,100,80,20,1,60,60,20,100,20
46,Acqua di Parma,Cedro di Taormina Acqua di Parma for women and men,fresh spicy,130,woody,110,citrus,105,aromatic,83,green,59,fresh,57,89,100,11,4,70,77,28,73,17
