5,A Dozen Roses,Gold Rush A Dozen Roses for women,sweet,130,woody,105,rose,78,yellow floral,74,cacao,67,warm spicy,67,90,100,23,60,46,43,70,53,
6,A Dozen Roses,Iced White A Dozen Roses for women,floral,130,rose,76,musky,50,fresh,49,fruity,33,,,92,100,69,46,69,53,53,84,
7,A Dozen Roses,Shakespeare in Love A Dozen Roses for women,white floral,130,rose,109,vanilla,77,woody,62,fruity,60,sweet,55,34,100,61,34,50,42,38,65,
8,A La Russe,Rouge A La Russe for women,vanilla,130,amber,65,balsamic,52,fresh spicy,49,powdery,39,,,1,1,1,1,1,1,1,1,
9,A Lab on Fire,Almost Transparent Blue A Lab on Fire for women and men,citrus,130,woody,90,fresh spicy,81,aromatic,79,herbal,57,aldehydic,54,84,75,18,30,84,96,36,100,
10,A Lab on Fire,Eau d`Ipanema A Lab on Fire for women and men,sweet,130,fruity,106,tropical,71,white floral,64,citrus,63,,,44,100,33,1,66,88,11,88,
11,A Lab on Fire,L'Anonyme ou OP-1475-A A Lab on Fire for women and men,fresh spicy,130,aromatic,96,woody,78,citrus,75,leather,46,,,79,100,25,20,66,43,41,69,
12,A Lab on Fire,Liquidnight A Lab on Fire for women and men,aromatic,130,fresh spicy,86,balsamic,78,woody,76,citrus,69,vanilla,63,100,74,30,38,28,23,52,37,
14,A Lab on Fire,Messy Sexy Just Rolled out of Bed A Lab on Fire for women and men,vanilla,130,sweet,127,floral,115,balsamic,89,powdery,88,aromatic,81,100,60,10,40,30,20,60,70,
15,A Lab on Fire,My Own Private Teahupo'o A Lab on Fire for women and men,vanilla,130,amber,121,white floral,109,salty,83,fruity,64,,,1,33,1,66,66,66,100,66,
16,A Lab on Fire,Oxymusc A Lab on Fire for women and men,floral,130,aromatic,109,herbal,89,fresh spicy,83,vanilla,71,musky,71,20,20,100,40,40,20,40,40,
17,A Lab on Fire,Paris*L.A. A Lab on Fire for women and men,coca-cola,130,sweet,128,citrus,99,fresh spicy,98,gourmand,55,,,100,64,45,32,29,18,32,43,
18,A Lab on Fire,Rose Rebelle A Lab on Fire for women,cacao,130,rose,121,warm spicy,78,sweet,52,floral,12,,,33,88,100,55,22,22,55,55,
19,A Lab on Fire,Rose Rebelle Respawn A Lab on Fire for women,warm spicy,130,green,120,cacao,91,rose,86,floral,73,,,100,52,76,35,29,23,47,41,
20,A Lab on Fire,Sweet Dreams 2003 A Lab on Fire for women and men,white floral,130,citrus,113,musky,47,fresh spicy,42,aromatic,35,,,76,100,23,6,63,46,20,63,
21,A Lab on Fire,What We Do In Paris Is Secret A Lab on Fire for women and men,balsamic,130,powdery,124,vanilla,117,sweet,106,floral,89,honey,87,100,80,23,37,19,12,34,41,
22,A Lab on Fire,Mon Musc a Moi A Lab on Fire for women and men,sweet,130,floral,119,vanilla,113,musky,90,rose,85,,,100,64,42,64,50,50,57,78,
23,A Lab on Fire,One Night In Rio A Lab on Fire for women,white floral,130,fruity,124,sweet,102,fresh spicy,100,tropical,100,floral,94,71,100,42,1,57,42,14,71,
24,A Perfume Organic,Green A Perfume Organic for women and men,woody,130,yellow floral,93,warm spicy,80,rose,66,herbal,64,,,80,40,20,100,100,100,100,100,
25,A Perfume Organic,Mejica A Perfume Organic for women and men,balsamic,130,warm spicy,120,vanilla,120,powdery,36,sweet,24,,,100,37,37,62,37,50,75,87,
26,A Perfume Organic,Perfumed Wine - Rosé A Perfume Organic for women and men,fruity,130,woody,82,warm spicy,68,fresh,66,sour,39,sweet,36,80,40,40,80,60,60,100,100,
27,A Perfume Organic,Urban Organic A Perfume Organic for women and men,citrus,130,fresh spicy,119,green,102,aromatic,69,woody,67,,,11,55,33,44,66,77,55,100,
28,A Perfume Organic,White Magik A Perfume Organic for women and men,white floral,130,musky,118,amber,82,powdery,62,aromatic,61,,,20,80,60,80,80,80,80,100,
29,A Wing & A Prayer Perfumes,Big Sur A Wing & A Prayer Perfumes for women and men,aromatic,130,sweet,90,rose,80,fruity,73,woody,58,fresh spicy,58,1,1,1,1,1,1,1,1,
30,A Wing & A Prayer Perfumes,Carmel A Wing & A Prayer Perfumes for women and men,aromatic,130,woody,106,marine,82,earthy,57,fresh spicy,57,,,1,1,1,1,1,1,1,1,
31,A Wing & A Prayer Perfumes,Filoli Rose A Wing & A Prayer Perfumes for women,floral,130,rose,118,aquatic,118,fresh,60,citrus,7,,,1,100,1,1,100,1,1,100,
32,A Wing & A Prayer Perfumes,Haight & Ashbury A Wing & A Prayer Perfumes for women and men,amber,130,balsamic,118,patchouli,80,warm spicy,61,woody,61,,,1,100,1,50,1,1,1,50,
33,A Wing & A Prayer Perfumes,HOLLY wOUD & VINE A Wing & A Prayer Perfumes for women and men,aromatic,130,fresh spicy,116,green,105,citrus,99,fresh,97,,,100,100,1,1,1,1,1,100,
34,A Wing & A Prayer Perfumes,Napa A Wing & A Prayer Perfumes for women and men,aromatic,130,fresh spicy,101,floral,94,herbal,90,sweet,22,,,1,100,1,1,1,1,1,1,
35,A Wing & A Prayer Perfumes,Orange County A Wing & A Prayer Perfumes for women and men,vanilla,130,citrus,124,powdery,38,sweet,38,fresh spicy,26,terpenic,26,1,1,1,1,1,1,1,1,
36,A Wing & A Prayer Perfumes,Tahoe A Wing & A Prayer Perfumes for women and men,woody,130,balsamic,86,warm spicy,42,powdery,38,sweet,25,,,1,1,1,1,1,1,1,1,
37,A Wing & A Prayer Perfumes,Azure Perfume A Wing & A Prayer Perfumes for women and men,citrus,130,green,98,aromatic,91,fresh spicy,81,floral,56,,,1,1,1,1,1,1,1,1,
38,A Wing & A Prayer Perfumes,CHANG'E Perfume A Wing & A Prayer Perfumes for women,fruity,130,amber,108,woody,87,floral,84,powdery,54,animalic,52,50,100,1,1,1,1,1,1,
39,A Wing & A Prayer Perfumes,Dusk A Wing & A Prayer Perfumes for women and men,woody,130,earthy,90,citrus,73,aromatic,51,green,44,,,1,1,1,1,1,1,1,1,
40,A Wing & A Prayer Perfumes,Jade A Wing & A Prayer Perfumes for women and men,floral,130,fresh spicy,101,aromatic,93,white floral,44,citrus,44,,,1,100,1,1,1,1,1,1,
41,A Wing & A Prayer Perfumes,La Isla del Sol A Wing & A Prayer Perfumes for women and men,citrus,130,white floral,93,amber,70,sweet,56,fresh spicy,47,honey,47,1,1,1,100,100,100,100,100,
42,A Wing & A Prayer Perfumes,Morning Mist A Wing & A Prayer Perfumes for women and men,amber,130,floral,117,animalic,53,balsamic,27,powdery,21,,,1,1,1,1,1,1,1,1,
43,A Wing & A Prayer Perfumes,SkyDancer A Wing & A Prayer Perfumes for men,woody,130,powdery,94,musky,77,floral,69,citrus,50,warm spicy,48,100,100,1,1,1,1,1,1,
44,A Wing & A Prayer Perfumes,Summer A Wing & A Prayer Perfumes for women and men,green,130,citrus,93,fresh,47,ozonic,47,aromatic,29,,,1,1,1,1,1,1,1,1,
45,A Wing & A Prayer Perfumes,Summer Varies A Wing & A Prayer Perfumes for women and men,yellow floral,130,vanilla,130,citrus,130,balsamic,130,smoky,117,,,1,1,1,1,1,1,1,1,
46,A Wing & A Prayer Perfumes,Verde Perfume A Wing & A Prayer Perfumes for women,citrus,130,green,130,aromatic,77,fresh spicy,56,floral,43,rose,43,1,1,1,1,1,1,1,1,
47,A Wing & A Prayer Perfumes,Bellini Perfume Oil A Wing & A Prayer Perfumes for women and men,floral,130,white floral,88,fruity,71,powdery,66,green,66,woody,66,1,1,1,1,1,1,1,1,
48,A Wing & A Prayer Perfumes,Ginger Spice A Wing & A Prayer Perfumes for women and men,fresh spicy,130,amber,109,woody,109,citrus,109,fresh,55,,,1,1,1,1,1,1,1,1,
49,A Wing & A Prayer Perfumes,Lemon Ice A Wing & A Prayer Perfumes for women and men,citrus,130,green,53,sour,53,sweet,53,aromatic,40,,,1,1,100,1,100,50,50,50,
50,A Wing & A Prayer Perfumes,Mojitos A Wing & A Prayer Perfumes for women and men,green,130,citrus,81,fresh spicy,68,balsamic,65,aromatic,62,,,1,1,1,1,1,1,1,1,
51,A Wing & A Prayer Perfumes,Orange Spice A Wing & A Prayer Perfumes for women and men,vanilla,130,citrus,124,warm spicy,124,powdery,38,sweet,38,,,1,1,1,1,1,1,1,1,
52,A Wing & A Prayer Perfumes,Pink Pamplemousse A Wing & A Prayer Perfumes for women and men,citrus,130,fresh,49,fresh spicy,26,green,7,soapy,7,woody,7,1,1,1,100,100,100,100,100,
53,A Wing & A Prayer Perfumes,Sabra CoCo A Wing & A Prayer Perfumes for women and men,vanilla,130,citrus,124,cacao,124,sweet,87,warm spicy,75,,,100,1,1,100,100,1,100,100,
54,A Wing & A Prayer Perfumes,Tea and Lemon A Wing & A Prayer Perfumes for women and men,green,130,citrus,93,fresh,47,ozonic,47,aromatic,29,,,1,100,1,1,1,1,1,1,
55,A Wing & A Prayer Perfumes,Dreams and Visions A Wing & A Prayer Perfumes for women and men,woody,130,patchouli,106,balsamic,106,warm spicy,96,powdery,93,,,1,1,1,100,100,100,100,100,
56,A Wing & A Prayer Perfumes,Flowers A Wing & A Prayer Perfumes for women,white floral,130,floral,87,sweet,52,animalic,26,honey,26,,,100,1,1,1,1,1,1,1,
57,A Wing & A Prayer Perfumes,Honeysuckle Rose A Wing & A Prayer Perfumes for women,citrus,130,white floral,107,rose,67,honey,67,sweet,64,,,1,100,1,1,1,1,1,1,
58,A Wing & A Prayer Perfumes,LACE Perfume A Wing & A Prayer Perfumes for women and men,aromatic,130,fresh spicy,130,green,72,citrus,69,floral,63,,,1,1,1,1,1,1,1,1,
59,A Wing & A Prayer Perfumes,Lavender and Roses A Wing & A Prayer Perfumes for women and men,rose,130,floral,33,aromatic,33,fresh spicy,26,herbal,10,,,1,1,1,1,1,1,1,1,
60,A Wing & A Prayer Perfumes,Lavender Fields A Wing & A Prayer Perfumes for women and men,aromatic,130,fresh spicy,130,citrus,105,rose,100,floral,85,,,1,1,1,1,1,1,1,1,
61,A Wing & A Prayer Perfumes,Summer Afternoon A Wing & A Prayer Perfumes for women and men,fresh spicy,130,aromatic,109,warm spicy,88,rose,81,woody,79,,,100,1,1,1,100,100,1,100,
62,A Wing & A Prayer Perfumes,Tea Rose A Wing & A Prayer Perfumes for women,white floral,130,rose,69,amber,69,animalic,28,sweet,28,,,1,1,1,1,1,1,1,1,
63,A Wing & A Prayer Perfumes,Bella A Wing & A Prayer Perfumes for women,citrus,130,fresh spicy,87,aromatic,53,rose,35,herbal,25,floral,23,1,50,1,50,50,100,50,50,
64,A Wing & A Prayer Perfumes,Bronte Perfume A Wing & A Prayer Perfumes for women,amber,130,animalic,79,musky,74,floral,71,citrus,60,tuberose,57,1,100,100,1,1,1,1,1,
65,A Wing & A Prayer Perfumes,Caliente Perfume A Wing & A Prayer Perfumes for women and men,citrus,130,aromatic,124,white floral,91,balsamic,75,powdery,75,,,1,100,1,50,1,1,1,50,
66,A Wing & A Prayer Perfumes,Epione A Wing & A Prayer Perfumes for women,white floral,130,rose,68,citrus,52,aromatic,37,amber,34,,,100,1,1,1,1,1,100,100,
67,A Wing & A Prayer Perfumes,Gemini A Wing & A Prayer Perfumes for women and men,citrus,130,fresh spicy,73,woody,62,aromatic,55,green,30,,,1,1,1,1,1,1,1,1,
68,A Wing & A Prayer Perfumes,KISMET Perfume A Wing & A Prayer Perfumes for women,white floral,130,fruity,111,sweet,111,green,91,powdery,75,citrus,69,1,1,1,1,1,1,1,1,
69,A Wing & A Prayer Perfumes,SAGITTARIUS Cologne A Wing & A Prayer Perfumes for men,citrus,130,woody,87,powdery,57,balsamic,33,green,31,musky,31,1,1,1,1,1,1,1,1,
